[2013-04-24 07:39:11] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 801
[2013-04-24 07:39:11] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 801
[2013-07-01 21:47:31] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 804
[2013-10-16 23:51:37] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:39] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:40] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:40] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:40] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:42] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:43] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:44] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:44] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:44] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:44] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:45] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:45] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:45] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:45] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:46] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:46] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:46] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:46] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:46] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:47] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:47] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:48] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:48] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:48] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:49] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:49] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
